	Unnamed: 0	haul	net	category	depth	o2	salinity	temp	volume	depth_layer	D_N	on_off	abundance	biomass	latitude	longitude	integrated_abundance	integrated_biomass	station	binned_o2
252	252	mn11	n1	Euphausiacea	52.893428300299995	2.9288010291	35.142921875	15.58203125	10.09375	15.604815804000001	D	offshore	38.439628483	736.0388762480001	-14.297	-77.169	599.8433220498999	11485.7510884118	station 5	(0, 10]
257	257	mn11	n2	Euphausiacea	39.428902249000004	17.95664722	35.1686309524	15.9999761905	15.4761904762	10.4370044163	D	offshore	1.4861538462000001	5.6257844474	-14.297	-77.169	15.5109942557	58.7163371224	station 5	(10, 20]
262	262	mn11	n3	Euphausiacea	31.2831152646	24.6353639164	35.1745365854	16.1487073171	6.8780487804999995	6.7594863123	D	offshore	0.4361702128	2.9714039082999997	-14.297	-77.169	2.9482865830000002	20.0851640465	station 5	(20, 50]
267	267	mn11	n4	Euphausiacea	23.9625041026	62.012897063000004	35.175960784299996	16.630745098	7.2156862745	7.3561648253	D	offshore	0.277173913	1.7136858780000002	-14.297	-77.169	2.0389369896000002	12.6061557772	station 5	(50, 150]
272	272	mn11	n5	Euphausiacea	12.0253780376	121.9856942191	35.169607843099996	16.9221960784	4.7058823529	18.2921755233	D	offshore	0.2125	2.6590484605	-14.297	-77.169	3.8870872987	48.6397811636	station 5	(50, 150]
277	277	mn12	n1	Euphausiacea	52.83216627149999	0.0	35.1230733945	15.653954128399999	21.339449541300002	16.0023603584	N	offshore	1.2652622528	16.929616795799998	-14.277000000000001	-77.17699999999999	20.2471825171	270.913828696	station 5	
282	282	mn12	n2	Euphausiacea	40.2431040202	2.222521155	35.1692054795	16.276164383599998	14.9452054795	9.7411974302	N	offshore	0.4014665445	1.1847566503	-14.277000000000001	-77.17699999999999	3.9107648712	11.5409484377	station 5	(0, 10]
287	287	mn12	n3	Euphausiacea	31.4464660256	104.5909378917	35.1839130435	17.1107391304	9.8043478261	7.1570930315	N	offshore	8.159645232799999	25.0435073687	-14.277000000000001	-77.17699999999999	58.3993400354	179.2387120731	station 5	(50, 150]
292	292	mn12	n4	Euphausiacea	24.4618712808	137.5971752691	35.1787083333	17.2597916667	11.166666666700001	6.660297128300001	N	offshore	1.7910447761000001	24.741503877800003	-14.277000000000001	-77.17699999999999	11.928890379	164.785767227	station 5	(50, 150]
297	297	mn12	n5	Euphausiacea	12.395769319500001	145.6316653042	34.6554328358	17.270970149300002	15.417910447799999	19.6839436335	N	offshore	19.1984511133	349.49487427300005	-14.277000000000001	-77.17699999999999	377.90122956449994	6879.4374053973	station 5	(50, 150]
302	302	mn13	n1	Euphausiacea	95.10802177040001	9.072076726	35.0709622642	14.877471698099999	8.377358490599999	12.7191192829	D	onshore	1.4324324324000002	4.0245150942	-15.424000000000001	-75.444	18.219278972799998	51.1882875396	station 8	(0, 10]
307	307	mn13	n2	Euphausiacea	77.58317876939999	25.692530435300004	35.088417322800005	15.2201653543	20.5905511811	22.5585018157	D	onshore	8.0133843212	56.6162400267	-15.424000000000001	-75.444	180.76994476029998	1277.1775534416001	station 8	(20, 50]
312	312	mn13	n3	Euphausiacea	57.9536341316	19.728510333800003	35.144218487399996	15.8370756303	20.7142857143	16.7962420028	D	onshore	4.8275862069	20.9104398584	-15.424000000000001	-75.444	81.0853062204	351.2168082467	station 8	(10, 20]
317	317	mn13	n4	Euphausiacea	43.032209301	98.8555745	35.1911370968	16.8416854839	21.9193548387	15.406069192999999	D	onshore	9.3068432671	22.3774343094	-15.424000000000001	-75.444	143.3818713418	344.7483013333	station 8	(50, 150]
322	322	mn13	n5	Euphausiacea	19.241161734400002	202.2729116	35.196329896900004	17.7450824742	19.865979381400003	33.2015302121	D	onshore	10.1177996886	1.940308629	-15.424000000000001	-75.444	335.9264320419	64.4212155668	station 8	(150, 250]
327	327	mn14	n1	Euphausiacea	94.5288196802	4.4566292126	35.0536410256	14.6338717949	5.4358974359	10.4337137162	N	onshore	1.1037735848999999	9.5613957974	-15.43	-75.44	11.5164575924	99.7608664765	station 8	(0, 10]
332	332	mn14	n2	Euphausiacea	75.4159653508	42.4696247469	35.0807102804	15.1992476636	35.060747663600004	21.5646894001	N	onshore	11.979208316700001	41.1107158131	-15.43	-75.44	258.3279066077	886.5398175232001	station 8	(20, 50]
337	337	mn14	n3	Euphausiacea	58.5747321267	59.2557218682	35.1785486726	16.2630442478	15.8318584071	18.187608018	N	onshore	10.801006148699999	67.5695684767	-15.43	-75.44	196.4444660328	1228.9288254034	station 8	(50, 150]
342	342	mn14	n4	Euphausiacea	45.0096245358	135.95468029129998	35.1960707071	17.2723232323	13.7575757576	11.032565576300001	N	onshore	4.5792951542	172.08362836900002	-15.43	-75.44	50.52137408189999	1898.5239145916	station 8	(50, 150]
347	347	mn14	n5	Euphausiacea	21.6790578319	203.84302421669997	35.212742268	17.879721649500002	14.8762886598	37.674244273	N	onshore	29.9805959806	325.64142998290004	-15.43	-75.44	1129.4962964239999	12268.2947785948	station 8	(150, 250]
352	352	mn15	n1	Euphausiacea	73.1787478563	2.9184802425	35.1151428571	15.246053571400001	45.3892857143	46.90564757479999	D	offshore	1.5422141789	6.4666948684	-15.860999999999999	-76.105	72.3385547617	303.3245104729	station 7	(0, 10]
357	357	mn15	n2	Euphausiacea	48.211836911300004	27.5475566796	35.153417582399996	16.3942857143	13.7252747253	10.6347786459	D	offshore	11.803042433900002	14.305050335799999	-15.860999999999999	-76.105	125.5227436336	152.1310438398	station 7	(20, 50]
362	362	mn15	n3	Euphausiacea	39.0407691034	78.2009837418	35.172625	16.929535714300002	9.642857142899999	3.3793925708	D	offshore	27.0666666667	12.1127092164	-15.860999999999999	-76.105	91.4688922495	40.9335995382	station 7	(50, 150]
367	367	mn15	n4	Euphausiacea	36.999412233899996	138.9523004418	35.2082424242	17.5038484848	5.696969697	3.8764156218	D	offshore	0.0	0.0	-15.860999999999999	-76.105	0.0	0.0	station 7	(50, 150]
372	372	mn15	n5	Euphausiacea	19.8718366815	206.3534010914	35.2495	18.020346153800002	21.2692307692	33.6980856594	D	offshore	7.6636528029	0.6410051284	-15.860999999999999	-76.105	258.2504286161	21.6006457263	station 7	(150, 250]
377	377	mn16	n1	Euphausiacea	73.7747484381	1.0165243342	35.1196847458	15.270999999999999	54.5593220339	45.613677386899994	N	offshore	0.3849021435	0.6053239308	-15.86	-76.10600000000001	17.5568022002	27.611050491900002	station 7	(0, 10]
382	382	mn16	n2	Euphausiacea	51.8279551481	29.6434406861	35.1561621622	16.4133513514	10.4594594595	7.3547671025	N	offshore	40.2506459948	243.4008421764	-15.86	-76.10600000000001	296.0341270174	1790.1565067609	station 7	(20, 50]
387	387	mn16	n3	Euphausiacea	44.6608427436	87.8085921047	35.1831911765	17.0115441176	9.9264705882	5.0689819743	N	offshore	85.5288888889	319.1261845511	-15.86	-76.10600000000001	433.54439606150004	1617.6448770235002	station 7	(50, 150]
392	392	mn16	n4	Euphausiacea	39.0656176546	179.1232991623	35.2369661017	17.8835084746	9.2881355932	4.0751587543	N	offshore	43.065693430699994	333.41247610610003	-15.86	-76.10600000000001	175.499537595	1358.7087708047	station 7	(150, 250]
397	397	mn16	n5	Euphausiacea	20.0887456351	207.59735490970002	35.2523333333	18.0555591398	16.8817204301	35.6860002616	N	offshore	15.223566879000002	250.6838179953	-15.86	-76.10600000000001	543.2682116261	8945.9027945647	station 7	(150, 250]
