	Unnamed: 0	haul	net	category	depth	o2	salinity	temp	volume	depth_layer	D_N	on_off	abundance	biomass	latitude	longitude	integrated_abundance	integrated_biomass
101	101	mn05	n1	Eucalanidae	109.08761149840001	8.5668699766	35.052770642199995	14.677275229400001	15.7981651376	41.8366855664	N	offshore	14.1155632985	6.5008211565	-12.412	-77.813	590.5483833111	271.9728106464
106	106	mn05	n2	Eucalanidae	77.7596909951	14.4641113421	35.161010309299996	15.7011030928	12.6082474227	16.8961147699	N	offshore	37.1978740801	2.3461482237	-12.412	-77.813	628.4995496553	39.6407896552
111	111	mn05	n3	Eucalanidae	60.6835787387	50.6847317282	35.252744	16.621592	14.767999999999999	20.1777813715	N	offshore	13.610509209100002	2.4590708428	-12.412	-77.813	274.6298791754	49.618593842399996
116	116	mn05	n4	Eucalanidae	42.7383733641	133.4943304752	35.3602432432	18.0581081081	8.0810810811	14.3145134698	N	offshore	53.3344481605	12.5355494108	-12.412	-77.813	763.4566766007001	179.4402908925
121	121	mn05	n5	Eucalanidae	17.9624029505	210.3879645948	35.512623853200004	20.251954128399998	13.623853210999998	34.1004679313	N	offshore	22.6808080808	2.3174266615	-12.412	-77.813	773.426168615	79.0253335535
126	126	mn06	n1	Eucalanidae	108.9537315426	3.5884421127999997	35.0387777778	14.416269841300002	12.2063492063	40.842682636	D	offshore	10.814044213299999	7.1546488026	-12.414000000000001	-77.812	441.6745758141	292.2150504186
131	131	mn06	n2	Eucalanidae	79.4652560801	9.8924068829	35.1353953488	15.601519379800001	14.6356589147	18.9832035375	D	offshore	104.8125	11.7465305874	-12.414000000000001	-77.812	1989.6770207741001	222.98678099970002
136	136	mn06	n3	Eucalanidae	60.303843312299996	97.2656148664	35.2775855856	17.1612792793	12.3423423423	19.1837924745	D	offshore	35.001459854000004	9.2490347027	-12.414000000000001	-77.812	671.4607421449	177.43156232540002
141	141	mn06	n4	Eucalanidae	42.9600535998	187.14331311549998	35.4623536585	19.5097195122	9.8536585366	14.6127217093	D	offshore	30.0396039604	11.284922910899999	-12.414000000000001	-77.812	438.9603729307	164.90343800850002
146	146	mn06	n5	Eucalanidae	19.3034410961	213.8435448822	35.5282926829	20.284402439	10.8780487805	33.8021225504	D	offshore	25.1883408072	6.372712410499999	-12.414000000000001	-77.812	851.4193828051	215.41120587900002
151	151	mn07	n1	Eucalanidae	45.537365915900004	12.397393362	35.176046875	15.8666875	10.296875	9.1453103264	N	onshore	13.402124430999999	6.4092737651	-12.212	-77.439	122.56658695440001	58.614797548599995
156	156	mn07	n2	Eucalanidae	38.4363422265	28.602090296700002	35.2325322581	16.5865	10.0	3.1810731014	N	onshore	20.9	3.4375376231	-12.212	-77.439	66.4844278183	10.9350584678
161	161	mn07	n3	Eucalanidae	33.768424539099996	60.508159892200005	35.283761194	17.0734029851	11.388059701500001	6.0640602372000005	N	onshore	10.0982961992	2.8276973301	-12.212	-77.439	61.2366764453	17.1473269425
166	166	mn07	n4	Eucalanidae	29.0134088978	104.1081501968	35.3334285714	17.5365396825	10.3333333333	5.1695094482	N	onshore	14.3225806452	2.2929830896000003	-12.212	-77.439	74.04071596770001	11.8535977465
171	171	mn07	n5	Eucalanidae	13.8387712176	163.82675161059998	35.3338253968	18.2710793651	12.746031746	24.2587289779	N	onshore	18.515566625199998	4.4187827623	-12.212	-77.439	449.16411263279997	107.19405344200001
176	176	mn08	n1	Eucalanidae	48.01184261	115.71068130889999	35.325156626500004	17.661843373499998	14.5662650602	9.9404535285	D	onshore	25.8130686518	12.551438322300001	-12.212333000000001	-77.439	256.5936093617	124.7669893595
181	181	mn08	n2	Eucalanidae	39.838796701999996	144.1269368819	35.3824883721	18.0801860465	8.0697674419	4.970407446	D	onshore	19.2074927954	6.318975973300001	-12.212333000000001	-77.439	95.4690652092	31.4078852288
186	186	mn08	n3	Eucalanidae	34.814098429299996	148.9143324112	35.3809298246	18.203947368399998	9.8596491228	5.7658235734000005	D	onshore	50.4074733096	8.829080748400001	-12.212333000000001	-77.439	290.6405978848	50.9069219105
191	191	mn08	n4	Eucalanidae	28.8477514842	180.348161919	35.312681818200005	18.608204545499998	7.1363636364	5.5671586225	D	onshore	49.1847133758	13.8331273723	-12.212333000000001	-77.439	273.8191011636	77.0112143263
196	196	mn08	n5	Eucalanidae	14.1026206469	191.0295083191	35.283577777800005	18.6625944444	27.15	24.7558280795	D	onshore	32.9650092081	12.0368741021	-12.212333000000001	-77.439	816.0761005952	297.9827858872
201	201	mn09	n1	Eucalanidae	32.3547625831	1.9996961674	35.1395384615	15.7944903846	17.0192307692	15.010031332899999	N	onshore	1.2338983051	0.8851342721	-14.001	-76.66	18.520852221	13.285893158299999
206	206	mn09	n2	Eucalanidae	21.9824529557	2.8553826313	35.1433095238	15.9863809524	6.9761904762	5.765737439	N	onshore	6.5938566553	11.5011471952	-14.001	-76.66	38.018446185100004	66.3125949753
211	211	mn09	n3	Eucalanidae	16.4036285999	30.585145525799998	35.1683108108	16.516148648599998	12.054054054100002	4.5729460056999995	N	onshore	1.5762331839	2.6968538807	-14.001	-76.66	7.2080292422	12.3325671819
216	216	mn09	n4	Eucalanidae	11.144665186700001	79.72016106609999	35.16065	16.8034625	10.7875	6.7601973235	N	onshore	2.7809965238	4.22113294	-14.001	-76.66	18.8000852566	28.5356916033
