	Unnamed: 0	haul	net	category	depth	o2	salinity	temp	volume	depth_layer	D_N	on_off	abundance	biomass	latitude	longitude	integrated_abundance	integrated_biomass	station	binned_o2
144	144	mn06	n4	Pleuroncodes	42.9600535998	187.14331311549998	35.4623536585	19.5097195122	9.8536585366	14.6127217093	D	offshore	0.0	0.0	-12.414000000000001	-77.812	0.0	0.0	station 3	(150, 250]
149	149	mn06	n5	Pleuroncodes	19.3034410961	213.8435448822	35.5282926829	20.284402439	10.8780487805	33.8021225504	D	offshore	0.0	0.0	-12.414000000000001	-77.812	0.0	0.0	station 3	(150, 250]
154	154	mn07	n1	Pleuroncodes	45.537365915900004	12.397393362	35.176046875	15.8666875	10.296875	9.1453103264	N	onshore	1.5538694992	141.2029354693	-12.212	-77.439	14.2106187773	1291.3446638682	station 4	(10, 20]
159	159	mn07	n2	Pleuroncodes	38.4363422265	28.602090296700002	35.2325322581	16.5865	10.0	3.1810731014	N	onshore	1.3	97.49987857110001	-12.212	-77.439	4.1353950318	310.1542411078	station 4	(20, 50]
164	164	mn07	n3	Pleuroncodes	33.768424539099996	60.508159892200005	35.283761194	17.0734029851	11.388059701500001	6.0640602372000005	N	onshore	0.43905635649999997	23.6732628344	-12.212	-77.439	2.6624641933	143.5560918396	station 4	(50, 150]
169	169	mn07	n4	Pleuroncodes	29.0134088978	104.1081501968	35.3334285714	17.5365396825	10.3333333333	5.1695094482	N	onshore	0.0967741935	2.1085284915	-12.212	-77.439	0.5002751079	10.9000579587	station 4	(50, 150]
174	174	mn07	n5	Pleuroncodes	13.8387712176	163.82675161059998	35.3338253968	18.2710793651	12.746031746	24.2587289779	N	onshore	0.2353673724	20.2820985786	-12.212	-77.439	5.7097132962	492.0179325222	station 4	(150, 250]
179	179	mn08	n1	Pleuroncodes	48.01184261	115.71068130889999	35.325156626500004	17.661843373499998	14.5662650602	9.9404535285	D	onshore	0.0	0.0	-12.212333000000001	-77.439	0.0	0.0	station 4	(50, 150]
184	184	mn08	n2	Pleuroncodes	39.838796701999996	144.1269368819	35.3824883721	18.0801860465	8.0697674419	4.970407446	D	onshore	0.0	0.0	-12.212333000000001	-77.439	0.0	0.0	station 4	(50, 150]
189	189	mn08	n3	Pleuroncodes	34.814098429299996	148.9143324112	35.3809298246	18.203947368399998	9.8596491228	5.7658235734000005	D	onshore	0.0	0.0	-12.212333000000001	-77.439	0.0	0.0	station 4	(50, 150]
194	194	mn08	n4	Pleuroncodes	28.8477514842	180.348161919	35.312681818200005	18.608204545499998	7.1363636364	5.5671586225	D	onshore	0.0	0.0	-12.212333000000001	-77.439	0.0	0.0	station 4	(150, 250]
199	199	mn08	n5	Pleuroncodes	14.1026206469	191.0295083191	35.283577777800005	18.6625944444	27.15	24.7558280795	D	onshore	0.0	0.0	-12.212333000000001	-77.439	0.0	0.0	station 4	(150, 250]
204	204	mn09	n1	Pleuroncodes	32.3547625831	1.9996961674	35.1395384615	15.7944903846	17.0192307692	15.010031332899999	N	onshore	0.411299435	73.1917164118	-14.001	-76.66	6.173617407	1098.609956654	station 6	(0, 10]
209	209	mn09	n2	Pleuroncodes	21.9824529557	2.8553826313	35.1433095238	15.9863809524	6.9761904762	5.765737439	N	onshore	4.7303754266	967.8004298942999	-14.001	-76.66	27.274102698000004	5580.083172167901	station 6	(0, 10]
214	214	mn09	n3	Pleuroncodes	16.4036285999	30.585145525799998	35.1683108108	16.516148648599998	12.054054054100002	4.5729460056999995	N	onshore	4.1479820628	884.8904781122	-14.001	-76.66	18.9684980058	4046.5563773919002	station 6	(20, 50]
219	219	mn09	n4	Pleuroncodes	11.144665186700001	79.72016106609999	35.16065	16.8034625	10.7875	6.7601973235	N	onshore	2.1320973349	258.3678797431	-14.001	-76.66	14.4133986968	1746.6178491259	station 6	(50, 150]
224	224	mn09	n5	Pleuroncodes	4.6053282799	117.1789383901	35.1569032258	16.9247096774	4.0322580645	5.8656573999	N	onshore	3.2239999999999998	187.71472807130002	-14.001	-76.66	18.9108794572	1101.0702837781	station 6	(50, 150]
229	229	mn10	n1	Pleuroncodes	34.1928022208	1.9991071884	35.1235238095	15.796714285699998	6.619047619	16.7992421657	D	onshore	0.45323741009999996	51.3072543	-14.0015	-76.66	7.6140450103	861.9229898416	station 6	(0, 10]
234	234	mn10	n2	Pleuroncodes	21.2312576149	4.0782762605	35.1328125	15.9669375	2.4375	6.6604485789	D	onshore	0.0	0.0	-14.0015	-76.66	0.0	0.0	station 6	(0, 10]
239	239	mn10	n3	Pleuroncodes	14.6390545776	25.3483629983	35.1483333333	16.3343333333	1.75	5.1694625799	D	onshore	0.0	0.0	-14.0015	-76.66	0.0	0.0	station 6	(20, 50]
244	244	mn10	n4	Pleuroncodes	8.932294328200001	97.2364302487	35.162846153800004	16.692461538499998	1.9230769231	5.766104052899999	D	onshore	0.0	0.0	-14.0015	-76.66	0.0	0.0	station 6	(50, 150]
249	249	mn10	n5	Pleuroncodes	3.7282079319999997	146.2830688205	35.1487	16.8539	1.2	4.4738197081	D	onshore	0.0	0.0	-14.0015	-76.66	0.0	0.0	station 6	(50, 150]
254	254	mn11	n1	Pleuroncodes	52.893428300299995	2.9288010291	35.142921875	15.58203125	10.09375	15.604815804000001	D	offshore	0.3962848297	6.2862596125	-14.297	-77.169	6.1839517737000005	98.09592334860001	station 5	(0, 10]
259	259	mn11	n2	Pleuroncodes	39.428902249000004	17.95664722	35.1686309524	15.9999761905	15.4761904762	10.4370044163	D	offshore	0.0646153846	0.9198501639	-14.297	-77.169	0.6743910545999999	9.6004802234	station 5	(10, 20]
264	264	mn11	n3	Pleuroncodes	31.2831152646	24.6353639164	35.1745365854	16.1487073171	6.8780487804999995	6.7594863123	D	offshore	1.4539007091999998	46.889889310200005	-14.297	-77.169	9.8276219434	316.95156497849996	station 5	(20, 50]
269	269	mn11	n4	Pleuroncodes	23.9625041026	62.012897063000004	35.175960784299996	16.630745098	7.2156862745	7.3561648253	D	offshore	0.1385869565	4.9394689818	-14.297	-77.169	1.0194684948000001	36.335547979299996	station 5	(50, 150]
274	274	mn11	n5	Pleuroncodes	12.0253780376	121.9856942191	35.169607843099996	16.9221960784	4.7058823529	18.2921755233	D	offshore	0.0	0.0	-14.297	-77.169	0.0	0.0	station 5	(50, 150]
279	279	mn12	n1	Pleuroncodes	52.83216627149999	0.0	35.1230733945	15.653954128399999	21.339449541300002	16.0023603584	N	offshore	0.2811693895	19.9778146011	-14.277000000000001	-77.17699999999999	4.4993738926999995	319.6921884202	station 5	
284	284	mn12	n2	Pleuroncodes	40.2431040202	2.222521155	35.1692054795	16.276164383599998	14.9452054795	9.7411974302	N	offshore	1.7396883593	292.5937590173	-14.277000000000001	-77.17699999999999	16.946647775	2850.2135734355998	station 5	(0, 10]
289	289	mn12	n3	Pleuroncodes	31.4464660256	104.5909378917	35.1839130435	17.1107391304	9.8043478261	7.1570930315	N	offshore	0.20399113079999998	37.992268054200004	-14.277000000000001	-77.17699999999999	1.4599835009	271.9141969424	station 5	(50, 150]
294	294	mn12	n4	Pleuroncodes	24.4618712808	137.5971752691	35.1787083333	17.2597916667	11.166666666700001	6.660297128300001	N	offshore	0.3582089552	36.737628101700004	-14.277000000000001	-77.17699999999999	2.3857780758000002	244.6835189464	station 5	(50, 150]
299	299	mn12	n5	Pleuroncodes	12.395769319500001	145.6316653042	34.6554328358	17.270970149300002	15.417910447799999	19.6839436335	N	offshore	0.1945788964	28.630053292399996	-14.277000000000001	-77.17699999999999	3.8300800294	563.5523552319	station 5	(50, 150]
304	304	mn13	n1	Pleuroncodes	95.10802177040001	9.072076726	35.0709622642	14.877471698099999	8.377358490599999	12.7191192829	D	onshore	0.2387387387	2.5685225446	-15.424000000000001	-75.444	3.0365464955	32.6693446255	station 8	(0, 10]
309	309	mn13	n2	Pleuroncodes	77.58317876939999	25.692530435300004	35.088417322800005	15.2201653543	20.5905511811	22.5585018157	D	onshore	0.0971319312	1.1860132561	-15.424000000000001	-75.444	2.1911508456	26.754682191700002	station 8	(20, 50]
